session,session_dir,task,task_id,prompt,trial,is_success,checkpoint_profile,checkpoint_path,chunks,video_dir,notes,labeled_at
20260917_232310,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_232310,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,14,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,62,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_232310/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_232556,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_232556,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,15,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,100,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_232556/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_232806,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_232806,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,16,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,56,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_232806/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_233246,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_233246,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,17,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,113,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_233246/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_233448,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_233448,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,18,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,202,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_233448/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_234143,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_234143,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,19,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,61,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_234143/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_234256,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_234256,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,20,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,92,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_234256/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_110055,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_110055,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,21,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,142,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_110055/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_110642,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_110642,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,22,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,54,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_110642/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_110755,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_110755,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,23,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,44,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_110755/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_110856,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_110856,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,24,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,44,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_110856/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_111420,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_111420,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,25,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,121,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_111420/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_111729,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_111729,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,26,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,55,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_111729/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_111944,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_111944,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,27,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,46,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_111944/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_112051,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_112051,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,28,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,65,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_112051/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_112255,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_112255,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,29,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,27,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_112255/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260924_112508,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_112508,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,30,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,48,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260924_112508/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
